question_title_list,answer_count_list,no_of_view_list,anonymity_label,non_anonymous_answer_count,anonymous_answer_count
"Do you like J-Hope's rapping or RM's raps? I get tired seeing it always 'Suga vs RM', but Suga has a larger fanbase so it's unfair.",6,1083,0,6,0
What is the relationship of music to human experience?,1,331,0,1,0
Who went to Justin Bieber's wedding?,1,710,0,1,0
Fuse two Band names or Artist names together. What is the new Supergroup called?,5,930,0,5,0
"Excluding hip-hop / R&B, what are some of the best songs of 2003?",1,406,1,1,0
"What career should I choose if I am good at music, gaming, computer hardware, and maths? I finished my 12th and need to make a crucial decision.",1,50,0,1,0
Why don't current male singers dance/dress in the same manner as female artists during performances?,1,441,0,1,0
Why does my amp stop humming when I hit it?,1,618,0,1,0
How can I become more aware if music is actually stunting my spiritual growth when it feels so good?,1,146,1,1,0
What is the first song of a musical called?,1,1194,0,1,0
"If I put the artist’s name, song and “licensed to YouTube by” in the description, would I get copyrighted for reacting to the video?",2,432,0,2,0
Do all top Billboard singers use Auto-Tune?,1,113,0,1,0
Is there a composition that shares almost the same initial notes of Gabriel's Oboe? Are there any different variations in the original?,1,233,0,1,0
Was Stillwater on the cover of Rolling Stone?,2,545,0,2,0
"Why did Noel and Liam Gallagher fall out, and who is their brother Paul?",1,395,0,1,0
What is a good song with the word “light” in its title or lyrics?,3,327,0,3,0
Do fans of other genres besides K-pop have biases?,4,1082,0,4,0
"Which is the best Rajinikanth and AR Rahman (music) combo movie, and why?",3,1496,0,3,0
"What is the meaning of Black Pink's song ""Kill This Love""?",1,738,0,1,0
1. Can I use midi without connecting to anything just like without USB 2. Can I connect midi to synthesia?,2,339,1,2,0
How many songs can 5gb hold?,1,285,0,1,0
What are some popular examples of extended chords in jazz?,1,962,0,1,0
Who is the best selling reggae artist of all time?,5,1194,0,5,0
What is the order of the strings on a ukulele?,1,506,0,1,0
"Why am I struggling to figure out what I want to do in life? I love art, but I keep leaning towards music. I love both and I don’t know which one to pursue.",2,645,0,2,0
Who has the best record deal?,1,156,0,1,0
What are your favourite books and music albums?,2,1249,0,2,0
Hannah Mermaid's father co-wrote which 1970 hit song?,1,1680,0,0,1
"Do French horns ever use tenor, alto, or other clefs?",3,704,0,3,0
Who sings for Troy Bolton in HSM 3?,1,412,0,1,0
"Do you think that music can tell a story of its own, or do the two go hand in hand while making a film?",1,123,0,1,0
What slap bass riffs inspire your bass practice and bass compositions?,4,331,0,4,0
Why is it difficult to find stable work as an artist or musician?,3,503,1,3,0
"If you could force every person on Earth to listen to an album of your choice, which album would it be, and why?",3,911,0,3,0
What songs (if any) have you been listening to in order to raise your spirits during the COVID-19 crisis?,4,340,0,4,0
What's a good song to dedicate to a shy girl?,3,1794,0,3,0
Why do classical musicians like to underestimate non-classical musicians?,9,3676,1,9,0
When did someone's narrow-mindedness about music confuse you?,5,535,0,5,0
What are some good upbeat Mandarin songs? I know slow paced songs seem more popular but I like a faster pace!,2,517,0,2,0
Which music streaming service uses the least data?,1,144,0,1,0
Which musician today could be compared to Mozart or Beethoven?,1,429,0,1,0
"Classical music is excellent, but how difficult, actually, was it to compose? Beethoven took a while to write his sonatas. Who says that the average pianist, given 30 years, couldn’t write something similar? (Stupid question, but genuinely curious).",9,2489,0,9,0
"Why is my hearing bad? I used to listen to my music through my headphones at medium volume and that was loud enough, but recently I can’t hear anything on half volume, it sounds normal when on max volume, what’s going on with my hearing?",6,642,0,6,0
Did the Beatles live on Penny Lane?,2,1283,0,2,0
Is listening to sad piano songs a sign of depression?,3,356,0,3,0
When is BTS coming to Europa?,2,251,0,2,0
Is there a talented musician you're glad went solo because it seemed like their band was holding them back?,8,4798,0,8,0
Who is your favorite indie rock band right now?,4,1052,0,4,0
"I know how to play guitar, piano, drums, bass, and sing, by ear. Is that normal?",10,1481,0,10,0
Why does shuffle play the same songs?,2,2419,0,1,1
Does black vinyl sound better?,7,781,0,6,1
How can I download free music from YouTube to my iPhone?,1,346,0,1,0
How do DJ’s read the energy of the crowd?,2,327,0,2,0
"If you were to take one K-pop Quoran to a concert of a group/soloist that's of your choice, who would the K-pop Quoran and group/soloist be?",8,2272,0,8,0
What kind of cool music instruments can you recommend? Something unique and cool.,5,493,1,5,0
"Why is it that every civilisation around the world developed the same music theory having octaves? For example- Sa=C, Re=D, Ga=E so on. E# doesn't exist, so doesn't Ga#. How?",3,1062,0,3,0
"Which classic album do you prefer, 'Nashville Skyline' by Bob Dylan or 'Sticky Fingers' by The Rolling Stones?",3,1486,0,3,0
"If I want to learn to tap like Stanley Jordan, would I learn the same technique that metal players tap and apply it to the jazz idiom?",8,665,0,8,0
"Which brother/sister act started their showbiz career in ""Juvenile artists Presenting an Electric Musical Toe-Dancing Novelty""?",1,704,0,0,1
How long does it take to learn mucial ear training?,2,272,0,2,0
What is the raga classification in Hindustani music?,1,246,0,1,0
Can somebody list all of Stray Kids' comebacks/albums and some other Stray Kids songs that are important to Stays (such as 3racha's songs)?,1,395,0,1,0
How do you connect a MIDI keyboard to a synth?,2,744,0,2,0
What is a song that feels like a particular season to you without explicitly describing that season in the lyrics?,1,342,0,1,0
"I'm 14 and my speaking voice has deepened, but I can still sing really high. I could probably hit an F5. Am I a countertenor?",1,899,1,1,0
Who made Darksiders?,1,307,0,1,0
Anyone got some music suggestions? I mostly listen to songs with an indie/pop vibe but I'm looking for stuff that's less mainstream.,3,657,1,3,0
Would you consider The Doobie Brothers a southern rock band?,5,845,0,5,0
What was your first impression of Alanis Morissette?,6,1066,0,6,0
"How did Anton Bruckner, an Austrian composer, manage to get away with plagiarism in his music?",4,382,0,3,1
"Are there any K-pop idols living in the United States, namely Los Angeles?",3,869,0,3,0
"What is the difference between pulse, rhythm, and tempo?",3,1467,0,3,0
Who sings with Gavin Rossdale?,1,776,0,1,0
What message is behind BTS’s Don’t Leave Me song? Is it about youth?,1,296,0,1,0
"Are there any papers in psychology explaining why people like to expose themselves to sad things (songs, videos, etc.) when they're sad?",4,598,0,4,0
Where can I buy Taylor Swift’s biography?,2,288,0,2,0
Is there any kind of propaganda or censorship in the run the hills of the Iron Maiden?,1,571,0,1,0
Does Scooter Braun own Taylor Swift's music?,1,428,0,1,0
Why did Taylor Swift lose her songs?,1,597,0,1,0
What took your guitar playing to the next level?,5,3032,1,5,0
Many years ago I had seen a music video song where a girl had stolen a necklace from a party. Afterwards the same necklace was stolen by his boyfriend and again the same girl had stolen the necklace from the man. Do anyone know the songs name?,1,840,0,1,0
What would be the weirdest song to be sung for your birthday while blowing out your candles?,1,166,0,1,0
When was Penny Lane released?,1,600,0,1,0
"Do you know the lyrics of ""Video Bana De"" by Sukh-E Muzical Doctorz and Aastha Gill?",1,145,0,1,0
What are some soulful Hindi tracks not known to many?,3,420,0,3,0
"Can I (13) go to a BTS concert with friends the same age as me, but there isn’t anyone 16+ yrs old with us? Although my Mom will drop us off the venue and pick us up when the concert is over. (concert at rose bowl, pasadena)",2,960,0,1,1
What is Lil Wayne's current relationship with Birdman?,2,339,0,2,0
What gauge strings come on Schecter guitars?,2,671,0,2,0
"Where did the rock band Kiss perform their Melbourne concert on November 15, 1980?",2,765,0,1,1
What genre of music does the ukulele fit into?,1,403,0,1,0
"What song has the lyrics ""it starts tonight""?",4,4430,0,4,0
"What are some of the best and catchy Loona songs (subunits, solos, full group, etc.)?",1,764,1,1,0
"Decades ago, why did Bob Dylan wear Kabuki-like white facial powder?",1,516,0,1,0
Why are there so many feuds between artists in the rap industry compared to other music genres?,2,372,0,2,0
Who made the song We Are the World?,2,708,0,2,0
How does jazz theory differ from normal music theory?,5,2233,0,5,0
How do I add songs to a collaborative playlist on Spotify?,1,266,0,1,0
"What do you think of NCT DREAM’s recent comeback, Ridin’? I personally feel like Jaemin lost (too much) weight and he doesn’t carry the hype in his eyes in the music video. (looks tired)",1,309,0,1,0
Any suggetions of what Joplin rag I should learn next? I have finished learning the Entertainer and the Maple Leaf Rag.,8,2080,0,8,0
Who is the owner of the Punjabi music label Geet MP3?,2,241,0,1,1
"Why is the song Freebird requested at all live shows, regardless of the band playing?",5,2104,0,5,0
How can I keep my hand relaxed while playing a fast song on the piano?,3,552,0,3,0
How long does it take before you start to miss music?,1,164,0,1,0
"If band names were literal, who would be the most exciting to see live? And why?",11,3852,0,10,1
How old was Troy Sneed when he died?,1,1476,0,0,1
What do you read or listen to for the upliftment of the soul/spirit?,3,863,0,3,0
Why shouldn’t one use music apps to learn an instrument?,3,394,0,3,0
What music are you listening to that nobody else is?,5,1334,0,5,0
"Who had more commercial success post Beatles, John Lennon or Ringo Starr?",2,1003,0,2,0
"What are some unknown stories/fact about the ""king of pop"" Michael Jackson?",1,182,0,1,0
Where is Strawberry Fields from the Beatles song?,3,1489,0,3,0
Is there any kind of conscious or unconscious manipulation in the song Run the Hills by Iron Maiden?,1,124,0,1,0
